ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
334,24.61,13.61,13.09,48.69,47,26,25,93,191,27.38,50.13,22.49,0,2.11,3.81,1.7,0,7.619,99.4,100,0.00118799
335,65.34,2.84,2.27,29.55,115,5,4,52,176,58.25,33.94,7.81,0,20.03,11.73,2.73,0,34.494,100,100,0.00556174
336,48.21,30.36,5.36,16.07,27,17,3,9,56,55.04,34.51,10.45,0,8.35,5.25,1.61,0,15.216,99.4,100,0.00393266
337,71.15,12.5,3.85,12.5,74,13,4,13,104,93.2,5.06,1.74,0,104.91,5.69,1.97,0,112.568,100,100,0.00453529
338,69.71,2.86,1.71,25.71,122,5,3,45,175,70.32,23.86,5.32,0,2.74,0.98,0.21,0,3.928,100,100,0.00721562
339,69.46,6.59,2.4,21.56,116,11,4,36,167,75.03,21.8,3.17,0,15.85,4.63,0.68,0,21.157,100,100,0.00449318
340,24,41.6,20.8,13.6,30,52,26,17,125,41.28,38.37,20.35,0,30.65,28.48,15.1,0,74.232,35.3,100,7.02475e-4
341,77.07,5.1,5.1,12.74,121,8,8,20,157,85.47,10.93,3.6,0,29.95,3.83,1.27,0,35.046,100,100,0.00364806
342,58.92,4.32,3.78,32.97,109,8,7,61,185,64.62,19.33,16.05,0,3.77,1.19,0.99,0,5.948,100,100,0.0042709
343,94.67,1.18,0,4.14,160,2,0,7,169,94.02,4.05,1.92,0,91.02,3.93,1.87,0,96.808,100,100,0.0113087
344,88.75,1.25,0,10,142,2,0,16,160,71.98,22.72,5.3,0,7.3,2.32,0.56,0,10.182,100,100,0.0119588
345,27.4,37.67,32.19,2.74,40,55,47,4,146,39.57,31.16,29.28,0,45.87,36.11,33.94,0,115.914,8.9,98,6.95912e-4
346,91.26,0,0,8.74,167,0,0,16,183,90.5,8.37,1.13,0,9.16,0.88,0.12,0,10.147,100,100,0.0124538
347,48.19,11.45,9.64,30.72,80,19,16,51,166,65.89,17.53,16.58,0,28.74,7.64,7.22,0,43.595,99.5,100,0.00117031
348,27.01,43.8,13.14,16.06,37,60,18,22,137,47.72,31.97,20.32,0,8.85,5.88,3.77,0,18.503,96.2,100,7.7317e-4
349,36.98,3.13,1.56,58.33,71,6,3,112,192,56.53,22.8,20.67,0,13.56,5.45,4.92,0,23.932,100,100,0.00250503
350,28.8,12.5,12.5,46.2,53,23,23,85,184,60.02,21.37,18.61,0,6.18,2.17,1.95,0,10.302,99.6,100,0.00116122
351,86.11,1.39,1.39,11.11,62,1,1,8,72,46.32,52.02,1.66,0,1.55,1.73,0.07,0,3.342,100,100,0.0124651
352,94.38,0,0,5.62,168,0,0,10,178,94.26,2.98,2.76,0,98.7,3.13,2.9,0,104.734,100,100,0.00955189
353,52.47,33.95,10.49,3.09,85,55,17,5,162,43.03,32.26,24.71,0,29.06,21.8,16.69,0,67.552,85.1,100,3.40689e-4
354,26.97,11.24,9.55,52.25,48,20,17,93,178,20.08,57.16,22.76,0,1.92,5.47,2.19,0,9.579,96.2,99,7.98978e-4
