ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
277,11.68,0,0,88.32,34,0,0,257,291,54.16,25.63,20.21,0,48.82,23.13,18.24,0,90.187,51.87,24.92,23.21,0,150.94,72.52,67.53,0,291,1,0,0,0.00584922,0.0628695
278,7.97,10.76,3.59,77.69,20,27,9,195,251,32.84,40.66,26.5,0,46.38,57.47,37.44,0,141.285,33.49,33.89,32.62,0,84.06,85.07,81.86,0,251,0.34,0.38,0.27,0.00202036,0.00670269
279,13.92,6.75,3.8,75.53,33,16,9,179,237,49.17,29.07,21.76,0,131.88,77.97,58.38,0,268.23,46.62,27.65,25.73,0,110.49,65.53,60.98,0,237,1,0,0,0.00479555,0.0408973
280,20.75,9.96,7.05,62.24,50,24,17,150,241,43.49,29.75,26.76,0,101.12,69.17,62.23,0,232.521,45.59,28.67,25.75,0,109.87,69.09,62.05,0,241,1,0,0,0.00399727,0.04304
281,25.42,18.33,12.08,44.17,61,44,29,106,240,41.22,30.07,28.72,0,45.84,33.47,31.94,0,111.25,42.32,32.64,25.04,0,101.57,78.33,60.1,0,240,0.99,0.01,0,0.00371337,0.0381688
282,89.96,1.67,0.84,7.53,215,4,2,18,239,96.24,2.18,1.58,0,840.9,19.09,13.82,0,873.802,94.27,3.32,2.41,0,225.3,7.94,5.76,0,239,1,0,0,0.0215706,0.423865
283,33.86,2.79,1.2,62.15,85,7,3,156,251,53.54,25.11,21.35,0,187.49,87.96,74.81,0,350.264,56.35,23.54,20.11,0,141.43,59.08,50.48,0,251,1,0,0,0.00859564,0.0688562
284,2.25,2.62,1.5,93.63,6,7,4,250,267,35.9,35.97,28.14,0,67.7,67.84,53.06,0,188.593,37.28,31.78,30.94,0,99.55,84.85,82.61,0,267,0.79,0.12,0.1,0.00111945,0.0115102
285,5.91,4.33,3.54,86.22,15,11,9,219,254,45.25,29.82,24.93,0,73.71,48.49,40.56,0,162.762,36.11,32.74,31.15,0,91.72,83.15,79.13,0,254,0.64,0.21,0.15,0.00197189,0.00881828
286,47.92,2.08,0.42,49.58,115,5,1,119,240,54.63,23.9,21.46,0,174.23,76.27,68.49,0,318.984,68.88,18.06,13.06,0,165.31,43.34,31.35,0,240,1,0,0,0.0145377,0.121775
