ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
509,63.64,12.55,10.82,12.99,147,29,25,30,231,80.61,10.07,9.32,0,357,44.6,41.31,0,442.898,100,100,0.00922435
510,55.26,8.95,7.37,28.42,105,17,14,54,190,54.91,24.2,20.89,0,68.56,30.27,26.12,0,124.943,100,100,0.00980607
511,46.63,22.8,17.62,12.95,90,44,34,25,193,52.22,25.18,22.6,0,220.9,106.51,95.64,0,423.043,100,100,0.00616332
512,95.45,0.51,0,4.04,189,1,0,8,198,94.45,3.3,2.25,0,332.78,11.63,7.94,0,352.35,100,100,0.0457813
513,55.96,21.76,20.73,1.55,108,42,40,3,193,55.72,25.46,18.82,0,122.1,55.81,41.23,0,219.144,99.9,100,0.00411349
514,75.35,1.41,0.7,22.54,107,2,1,32,142,74.88,15.5,9.62,0,101.86,21.12,13.11,0,136.082,100,100,0.0275744
515,44.67,27.33,21.33,6.67,67,41,32,10,150,50.92,25.28,23.81,0,144.35,71.66,67.5,0,283.513,99.8,100,0.00741196
516,8.99,5.29,4.23,81.48,17,10,8,154,189,46.07,29.12,24.81,0,30.78,19.46,16.58,0,66.819,43.2,98,0.00263335
517,94.07,0,0,5.93,111,0,0,7,118,75.24,12.92,11.84,0,139.82,24.03,22.02,0,185.87,100,100,0.0428293
518,31.9,7.36,5.52,55.21,52,12,9,90,163,62.04,25.13,12.84,0,42.79,17.38,8.87,0,69.041,100,100,0.00978323
519,95.73,0.61,0.61,3.05,157,1,1,5,164,94.85,2.96,2.18,0,427.61,13.37,9.85,0,450.839,100,100,0.0500812
520,36.3,34.25,28.77,0.68,53,50,42,1,146,47.01,30.25,22.73,0,67.82,43.64,32.8,0,144.26,96.6,100,0.0025686
521,90.09,0,0,9.91,100,0,0,11,111,97.29,1.58,1.13,0,323.71,5.27,3.76,0,332.734,100,100,0.0456552
522,12.95,4.91,2.68,79.46,29,11,6,178,224,38.52,35.2,26.28,0,14.67,13.42,10,0,38.087,75.1,91,0.00248286
523,78.68,0,0,21.32,155,0,0,42,197,84.31,8.43,7.26,0,62.21,6.26,5.38,0,73.844,100,100,0.028554
524,16.43,17.39,4.83,61.35,34,36,10,127,207,43.91,29.06,27.04,0,43.33,28.68,26.71,0,98.719,95.6,100,0.00147393
525,10.39,8.66,4.33,76.62,24,20,10,177,231,46.72,30.4,22.88,0,53.08,34.55,26.07,0,113.693,96.9,100,0.00152464
526,10.04,2.81,0.8,86.35,25,7,2,215,249,61.26,20.31,18.43,0,55.13,18.35,16.69,0,90.167,100,100,0.00366827
527,5.32,1.9,1.14,91.63,14,5,3,241,263,51.56,26.13,22.31,0,44.42,22.5,19.5,0,86.422,99.3,100,0.00177619
528,7.11,4.57,2.03,86.29,14,9,4,170,197,32.59,35.72,31.69,0,20.82,22.82,20.51,0,64.142,89.5,97,0.00120364
529,25.29,6.47,4.71,63.53,43,11,8,108,170,55.85,24.18,19.97,0,76.09,32.95,27.22,0,136.259,100,100,0.00264139
530,8.3,2.07,1.24,88.38,20,5,3,213,241,41.18,34.65,24.17,0,36.13,30.09,21.06,0,87.27,86.5,96,0.00105119
531,15.24,10,7.14,67.62,32,21,15,142,210,35.71,34.21,30.08,0,43.19,41.38,36.39,0,120.958,37.3,95,0.00100654
532,4.88,2.85,2.03,90.24,12,7,5,222,246,34.2,33.22,32.58,0,32.92,32.02,31.39,0,96.328,68.5,87,0.00120554
533,4.19,4.65,4.19,86.98,9,10,9,187,215,24.23,59.42,16.34,0,38.47,94.47,25.94,0,158.882,63.2,66,8.17927e-4
534,8.33,8.33,4.69,78.65,16,16,9,151,192,42.05,29.08,28.87,0,56.72,39.22,38.96,0,134.9,85.7,67,0.00143589
535,51.76,4.52,4.02,39.7,103,9,8,79,199,79.27,14.11,6.63,0,12.47,2.26,1.07,0,15.796,100,100,0.0127644
536,91.98,1.27,0,6.75,218,3,0,16,237,90.89,4.77,4.34,0,115.52,6.08,5.94,0,127.541,100,100,0.028575
537,31.82,30.91,22.73,14.55,70,68,50,32,220,42.78,31.21,26.01,0,62.64,45.69,38.09,0,146.407,99.5,100,0.00397819
538,56.77,12.9,9.68,20.65,88,20,15,32,155,76.7,12.61,10.69,0,147.53,24.25,20.57,0,192.353,100,100,0.00716146
539,99.57,0.43,0,0,232,1,0,0,233,97.28,1.52,1.2,0,201.48,3.16,2.49,0,207.135,100,100,0.0345381
540,79.67,0.55,0,19.78,145,1,0,36,182,84.3,8.06,7.64,0,311.98,29.84,28.29,0,370.11,100,100,0.0234725
541,45.13,2.65,2.21,50,102,6,5,113,226,59.37,22.23,18.4,0,23.44,8.85,7.34,0,39.623,100,100,0.0111242
542,67.44,5.12,4.19,23.26,145,11,9,50,215,68.19,20.19,11.63,0,61.17,18.18,10.47,0,89.818,100,100,0.0146525
543,33.64,23.18,20,23.18,74,51,44,51,220,44.9,29.18,25.91,0,105.96,68.9,61.18,0,236.043,99.7,100,0.00359578
544,47.16,14.2,11.93,26.7,83,25,21,47,176,54.72,23.03,22.25,0,199.57,83.99,81.17,0,364.729,100,100,0.00514074
545,80.47,3.26,2.79,13.49,173,7,6,29,215,83.12,8.53,8.36,0,197.19,20.24,19.84,0,237.278,100,100,0.0194912
546,97.7,0.57,0,1.72,170,1,0,3,174,92.84,4.12,3.04,0,221.13,9.84,7.24,0,238.202,100,100,0.0449855
547,90.28,3.7,1.39,4.63,195,8,3,10,216,87.04,8.4,4.56,0,156.37,15.12,8.2,0,179.689,100,100,0.0203615
548,33.02,15.57,11.79,39.62,70,33,25,84,212,50.9,28.46,20.64,0,27.3,15.31,11.14,0,53.75,100,100,0.00356195
549,32.27,25.91,14.09,27.73,71,57,31,61,220,51.51,29.02,19.47,0,142,80.02,53.69,0,275.711,99.8,100,0.00351203
